"slug","title","excerpt","description","prompt_body","usage","example","difficulty","categories","models","related_tool_slugs"
"writing-apology-email-after-trouble","トラブル発生時の謝罪メール作成プロンプト","納期遅延や誤送付などのトラブルに対し、事実・原因・対応・再発防止を誠実に伝える謝罪文を作ります。","納期の遅れ、誤った商品の発送、請求ミスなど、取引先や顧客に迷惑をかけたときの謝罪メールを作るプロンプトです。謝罪の言葉だけでなく、何が起きたか、なぜ起きたか、今どう対応しているか、今後どう防ぐかを誠実に伝える構成にします。

言い訳に聞こえる表現や、確定していない約束を避けた文面にします。","# ROLE
あなたは顧客対応とリスクコミュニケーションに詳しいビジネス文書の専門家です。

# INPUT
- 送り先：{会社名・役職・関係性}
- 起きたこと：{事実を時系列で}
- 相手への影響：{例：出荷が2日遅れ、先方の店頭販売に影響}
- 原因：{分かっている範囲。調査中なら「調査中」}
- すでに行った対応：{例：代替品を本日発送済み}
- 今後の対応と再発防止策：{決まっている範囲で}
- 補償の有無：{社内で決定済みの内容のみ。未定なら「未定」}

# RULES
- 冒頭で謝罪し、言い訳から始めない
- 事実と原因を分けて書き、原因が調査中ならそう書く
- 担当者個人のせいにする表現（「担当者の不注意により」など）は避け、会社としての責任で書く
- 決まっていない補償や日程を約束しない
- 過剰にへりくだった表現を重ねない

# OUTPUT
1. 件名
2. 本文（お詫び→事実→原因→対応→再発防止→結び）
3. 電話で先に伝える場合の要点（3行）
4. 送信前の確認事項（社内の承認、事実の再確認など）","起きたことと、すでに行った対応を事実ベースで入力します。原因や補償が決まっていない場合は「調査中」「未定」と書けば、約束しすぎない文面になります。
重大なトラブルでは、メールの前に電話で一報を入れるのが基本です。送信前に上長など社内の承認を得てください。","【入力】送り先：取引先の雑貨店 店長／起きたこと：注文した商品の色違いを誤って発送／原因：ピッキング時の確認漏れ／対応：正しい商品を本日発送、誤送品は着払いで返送依頼

【出力イメージ】
件名：【お詫び】ご注文商品の誤送付について
本文：このたびは、ご注文いただいた商品と異なる色の商品をお送りしてしまい、誠に申し訳ございません。
■経緯 …
■今後の対策 出荷前に、注文内容と商品のバーコードを照合する工程を追加いたします。","intermediate","writing","claude, chatgpt","claude, chatgpt"
"writing-long-article-three-level-summary","長文記事を3段階の長さで要約するプロンプト","長い記事やレポートを「1行」「3行」「箇条書き詳細」の3段階で要約し、目的に合わせて使い分けます。","長い記事、レポート、論文などを、3段階の長さで要約するプロンプトです。1行の要旨、3行のまとめ、見出し付きの詳細な要約を同時に作るので、社内共有・SNS投稿・自分の学習メモなど目的に合わせて使い分けられます。

原文にない解釈を混ぜず、筆者の主張と根拠を分けて整理します。","次の文章を3段階で要約してください。

【文章】
{記事・レポート・論文などの本文を貼り付け}

【要約の目的】{例：チームへの共有、自分の学習メモ、SNSでの紹介}
【特に知りたい観点】{例：実務への影響、数字の根拠。なければ「なし」}

【出力】
1. 1行要約（全角50字以内）
2. 3行要約（各行全角60字以内）
3. 詳細要約：見出しごとに箇条書き
   - 筆者の主張
   - その根拠（データ・事例）
   - 留保・限界（筆者自身が認めている点）
4. 原文で確認すべき数字や引用の一覧

【ルール】
- 原文にない情報や自分の意見を混ぜない。感想を書く場合は最後に「所感」として分ける
- 数字は原文の表記のまま使う
- 原文があいまいな箇所は、あいまいなまま書く
- 原文が長く一度に読めない場合は、どこまで読んだかを明示し、続きを求める","要約したい文章を貼り付け、要約の目的を書きます。英語の記事でも、そのまま貼り付ければ日本語で要約されます。
数字や引用を人に共有する前に、「原文で確認すべき一覧」を使って必ず原文と照らし合わせてください。長いPDFはGeminiやNotebookLMに読み込ませると扱いやすくなります。","【入力】架空のレポート「中小企業の生成AI活用実態調査」（約8,000字）／目的：チームへの共有

【出力イメージ】
1行要約：中小企業の生成AI利用は広がっているが、社内ルールの整備が追いついていない
3行要約：①… ②… ③…
詳細要約（留保・限界）：回答企業はWeb調査の登録者に限られる、と筆者が注記している","beginner","writing","gemini, claude","gemini, claude, notebooklm"
"writing-article-title-ideas-with-evaluation","記事タイトル案を複数の型で作り評価するプロンプト","記事の内容と読者から、型の違うタイトル案を作り、分かりやすさ・具体性などの観点で評価します。","ブログ記事、コラム、ニュースレターなどのタイトルを考えるプロンプトです。数字型・疑問型・ベネフィット型など型の違う案を出し、それぞれを「内容との一致」「具体性」「読者の関心」の観点で評価します。

釣りタイトルにならないよう、本文と内容がずれていないかも確認します。","# GOAL
次の記事に合うタイトル案を作り、評価してください。

# INPUT
- 記事の内容（要約）：{本文の要点}
- 想定読者：{誰が、どんな状況で読むか}
- 掲載先：{例：企業ブログ、note、社内報}
- 入れたいキーワード（あれば）：{例：確定申告 副業}
- 文字数の目安：{例：全角32字以内}

# RULES
- 次の型でそれぞれ2案ずつ作る：数字型／疑問型／ベネフィット型／ハウツー型／意外性型
- 本文に書かれていない約束をしない（釣りタイトル禁止）
- キーワードは自然に入る場合だけ入れる
- 誇張語（「完全」「最強」「神」など）は使わない

# OUTPUT
1. タイトル案10個（型・文字数付き）
2. 評価表：内容との一致／具体性／読者の関心／キーワードの自然さ（各5点）
3. おすすめ上位3案と、その理由","記事の要点と想定読者を入力します。検索からの流入を狙う場合は、入れたいキーワードも書いてください。
タイトルを決めたら、記事の冒頭でタイトルの約束にすぐ答えているかも確認すると、読者の満足度が上がります。","【入力】内容：副業収入がある会社員向けに、確定申告が必要になる条件と準備物を解説／読者：副業1年目の会社員／キーワード：確定申告 副業

【出力イメージ】
数字型：副業の確定申告、必要になる3つの条件と準備リスト（26字）
疑問型：副業の収入、いくらから確定申告が必要？（19字）
評価：数字型 — 内容との一致5／具体性4／関心4…","beginner","writing","chatgpt, claude","chatgpt, claude"
"writing-interview-transcript-to-article","インタビューの文字起こしを読みやすい記事にするプロンプト","話し言葉の文字起こしから、話し手の人柄を残しつつ構成の整ったインタビュー記事を作ります。","インタビューや対談の文字起こしを、読みやすい記事にまとめるプロンプトです。話し言葉の「えー」「あの」などを整え、話の順番を読者が理解しやすい流れに組み替えつつ、話し手らしい言葉づかいは残します。

Q&A形式と、地の文で構成する形式のどちらにも対応します。公開前には、必ず話し手本人に内容を確認してもらってください。","あなたはインタビュー記事を専門とするライター兼編集者です。

■ 記事の目的と読者：{例：採用サイトで、エンジニア志望の学生に職場の雰囲気を伝える}
■ 話し手：{名前（仮名可）・役職・人柄のメモ}
■ 形式：{Q&A形式／地の文と引用で構成する形式}
■ 文字数：{例：3,000字程度}
■ 文字起こし：
{文字起こしを貼り付け}

■ ルール
- 話し手が言っていないことを付け足さない
- 話し言葉のくせ（「えー」「なんか」）は整えるが、話し手らしい言い回しは残す
- 話の順番は入れ替えてよいが、意味が変わらないようにする
- 社外秘や個人情報に当たりそうな発言は【要確認】として印を付ける
- 数字や固有名詞は文字起こしのまま使う

■ 出力
1. タイトル案3つとリード文
2. 見出し構成
3. 本文
4. 話し手に確認すべき箇所の一覧","記事の目的と形式を決めてから、文字起こしを貼り付けます。文字起こしはOtter.aiなどの文字起こしツールで作ったものをそのまま使えます。
公開前に、話し手本人に原稿を確認してもらい、【要確認】の箇所の掲載可否を必ず確かめてください。","【入力】採用サイト向け／話し手：入社3年目のバックエンドエンジニア（仮名：佐藤さん）／形式：地の文と引用

【出力イメージ】
タイトル案：「分からない」を言える職場で、3年目のエンジニアが任されるようになったこと
本文：入社当初、佐藤さんが一番戸惑ったのはコードレビューだったという。「最初は指摘の多さに落ち込みました。でも…」","intermediate","writing","claude, chatgpt","claude, otter-ai"
"writing-ec-product-description","ECサイトの商品説明文を作成するプロンプト","商品の仕様と想定する使い手から、利用シーンが浮かぶ商品説明文と箇条書きの特徴を作ります。","オンラインショップの商品ページに載せる説明文を作るプロンプトです。スペックを並べるだけでなく、誰がどんな場面で使うと便利なのかが伝わる文章と、比較検討しやすい箇条書きの特徴を作ります。

薬機法や景品表示法に関わる表現（効果の断定など）に注意した文面にします。","# ROLE
あなたはEC専門のコピーライターです。

# INPUT
- 商品名：{名称}
- 仕様：{サイズ・素材・容量・重さ・色展開など}
- 価格：{金額}
- 想定する使い手と場面：{例：一人暮らしの社会人が、朝の支度で使う}
- 他の商品との違い：{分かる範囲で}
- よくある質問・レビューの声（あれば）：{箇条書き}

# RULES
- 冒頭2文で、使い手の場面と得られる変化を伝える
- 効果・効能を断定しない（特に健康・美容に関わる商品）。「〜しやすい」など事実に沿った表現にする
- 「最高品質」など根拠のない最上級表現は使わない
- 仕様にない情報を作らない

# OUTPUT
1. キャッチコピー（全角30字以内）
2. 商品説明文（全角300〜400字）
3. 特徴の箇条書き（5つ）
4. よくある質問と回答（3つ）
5. 表現上の注意が必要な箇所（あれば）","仕様は正確に、想定する使い手と場面は具体的に入力します。レビューの声があれば、購入者が気にするポイントがFAQに反映されます。
健康・美容・食品などの商品は、表現が法令に抵触しないか公開前に確認してください。","【入力】商品：折りたためるシリコン製ケトル（容量0.8L、重さ580g）／価格4,980円／使い手：キャンプや出張によく行く人

【出力イメージ】
キャッチコピー：たたむと厚さ4cm。旅先でも、いつものお茶を。
説明文：キャンプ場や出張先のホテルで、自分の好きなお茶やコーヒーを飲みたい方へ。…
FAQ：Q. IHコンロでも使えますか？ A. …（仕様にない場合は［要確認］）","beginner","writing","chatgpt, claude","chatgpt, copy-ai, jasper"
"writing-fact-check-checklist","記事公開前のファクトチェックリストを作成するプロンプト","原稿から事実関係の記述を抜き出し、確認すべき出典・確認方法・リスクの大きさを一覧にします。","記事やレポートを公開する前に、事実関係を確認するためのチェックリストを作るプロンプトです。数字・日付・固有名詞・引用・断定表現などを原稿から抜き出し、それぞれ何を根拠に確認すべきか、間違っていた場合のリスクの大きさと合わせて一覧にします。

AI自身に真偽を判定させるのではなく、人が確認する作業を漏れなく進めるためのプロンプトです。","# ROLE
あなたは報道機関で校閲とファクトチェックを担当してきた編集者です。

# INPUT
- 原稿：
{公開予定の原稿を貼り付け}
- 記事の種類：{例：ニュース解説、製品レビュー、調査レポート}
- 使用した資料（分かる範囲）：{URLや資料名}

# PROCESS
1. 原稿から、確認が必要な記述を抜き出す（数字、日付、固有名詞、引用、「〜とされる」「初」「唯一」などの断定・最上級）
2. 各記述について、確認すべき一次情報（公式発表、原典、統計など）を示す
3. 間違っていた場合の影響を「高・中・低」で評価する
4. 表現を弱める・出典を明記するなど、確認できなかった場合の対処を提案する

# RULES
- あなた自身の知識で真偽を断定しない。「確認が必要」とする
- 原稿にない事実を追加しない
- 時期によって変わる情報（価格・仕様・人数など）には確認日を記録する欄を付ける

# OUTPUT
表形式：| No | 記述（原文） | 種類 | 確認すべき一次情報 | 影響度 | 確認日 | 確認できなかった場合の対処 |
最後に、影響度「高」の項目だけを優先確認リストとしてまとめてください。","公開前の原稿を貼り付けます。参考にした資料があれば一緒に入れると、確認先の提案が具体的になります。
確認作業そのものは、公式サイトや一次資料で人が行ってください。PerplexityやGeminiで出典を探すのは有効ですが、最終確認は必ず原典で行います。","【入力】記事：新しいAIツールの紹介記事（「国内で初めて〜」「月額2,000円」「利用者は10万人を突破」などの記述を含む）

【出力イメージ】
| No | 記述 | 種類 | 一次情報 | 影響度 | 対処 |
| 1 | 国内で初めて | 最上級表現 | 公式プレスリリースの記載 | 高 | 確認できなければ削除 |
| 2 | 月額2,000円 | 価格 | 公式料金ページ | 中 | 「執筆時点」と明記 |","advanced","writing","claude, gemini","perplexity, gemini, claude"
"writing-plain-language-rewrite","専門的な文章を中学生にも分かる言葉に言い換えるプロンプト","専門用語の多い文章を、意味を保ったまま平易な言葉と具体例で書き直します。","契約書の説明、技術文書、医療・法律・行政の案内など、専門用語の多い文章を分かりやすく言い換えるプロンプトです。専門用語を身近な言葉に置き換え、必要に応じて具体例を補い、一文を短く整えます。

意味が変わってしまう言い換えを避けるため、元の文章との対応表も出力します。","次の文章を、中学生でも理解できる言葉に書き換えてください。

【元の文章】
{専門的な文章を貼り付け}

【読み手】{例：初めてサービスを使う高齢の方、新入社員}
【分野】{例：IT、医療、法律、行政手続き}

【ルール】
- 一文は全角40字以内を目安に短くする
- 専門用語は日常の言葉に言い換える。どうしても必要な用語は、初出時に説明を添える
- 必要に応じて身近な具体例を1〜2個入れる
- 意味を変えない。言い換えで正確さが失われる部分は、その旨を注記する
- 法律・医療などの判断が必要な内容は、「詳しくは専門家や公式窓口に確認」と添える

【出力】
1. 書き換えた文章
2. 用語の言い換え対応表（元の用語／言い換え／補足）
3. 言い換えで正確さが落ちる可能性がある箇所
4. 読み手が次に取るべき行動（手続き・問い合わせなど）があれば、最後に1〜2行でまとめる","分かりにくい文章を貼り付け、読み手を具体的に書きます。読み手の年代や知識レベルを変えると、言葉の選び方が変わります。
法律・医療・お金に関わる文章は、言い換えた内容が元の意味とずれていないか、必ず専門家や公式の情報で確認してください。","【元の文章】本サービスはクラウド上でデータを冗長化して保存しているため、単一障害点による消失リスクを低減しています。

【出力イメージ】
書き換え：このサービスは、あなたのデータをインターネット上の複数の場所にコピーして保管しています。そのため、どこか1か所でトラブルが起きても、データがなくなる心配は小さくなっています。
対応表：冗長化 → 複数の場所にコピーして保管","beginner","writing","claude, chatgpt","claude, chatgpt"
"writing-speech-draft-for-occasion","朝礼・式典・送別会のスピーチ原稿を作るプロンプト","場面と伝えたいことから、話す時間に合わせた自然な話し言葉のスピーチ原稿を作ります。","朝礼、表彰式、入社式、送別会、結婚式など、人前で話すスピーチの原稿を作るプロンプトです。話す時間から文字数を逆算し、エピソード・伝えたいこと・締めの言葉という流れで、声に出して読みやすい話し言葉の原稿にします。

自分の体験やエピソードを入れることで、借り物ではない言葉になります。","# INPUT
- 場面：{例：部署の送別会、入社式での先輩代表あいさつ、朝礼}
- 話す人と聞く人の関係：{例：上司として部下を送り出す}
- 話す時間：{例：2分}
- 一番伝えたいこと：{1文で}
- 使いたいエピソード：{具体的な出来事。なければ「なし」}
- 雰囲気：{例：あたたかく少しユーモアを入れる、格式高く}

# RULES
- 1分あたり全角300字を目安に、話す時間に合わせた長さにする
- 書き言葉ではなく話し言葉で書く。一文を短くする
- エピソードがない場合は、作り話をせず、一般的な表現で構成する
- 場面にそぐわない表現（送別の場での「終わる」「切れる」など、結婚式の忌み言葉）を避ける
- 間を取る箇所に「（間）」を入れる

# OUTPUT
1. スピーチ原稿
2. 話すときのポイント（3つ）
3. 時間が足りないときに削ってよい部分","場面、話す時間、一番伝えたいこと、使いたいエピソードを入力します。エピソードは具体的な出来事を1つ入れると、聞き手の印象に残るスピーチになります。
原稿ができたら、一度声に出して時間を計り、言いにくい言葉を自分の言葉に直してください。","【入力】場面：部署の送別会／関係：上司として異動する部下へ／時間：2分／伝えたいこと：新しい部署でもあなたらしさを大切に／エピソード：繁忙期に自主的にマニュアルを作ってくれた

【出力イメージ】
「山田さん、3年間本当にありがとうございました。（間）
去年の繁忙期のことを覚えていますか。誰に頼まれたわけでもないのに、山田さんは…」","beginner","writing","chatgpt, claude","chatgpt, claude"
"writing-resume-self-pr","職務経歴書の自己PRと職務要約を作成するプロンプト","経験の棚卸しメモから、応募先に合わせた職務要約と自己PRを、実績の根拠付きで作ります。","転職活動で提出する職務経歴書の「職務要約」と「自己PR」を作るプロンプトです。これまでの経験を書き出したメモと応募先の求人情報をもとに、応募先で求められていることに結びつく強みを、具体的な実績とセットで表現します。

盛りすぎた表現や、事実と異なる実績を書かないよう注意した文面にします。","あなたは人材紹介会社で多くの職務経歴書を添削してきたキャリアアドバイザーです。

【経験の棚卸しメモ】
{これまでの職歴・担当業務・工夫したこと・成果（数字があれば）を箇条書き}

【応募先の求人情報】
{仕事内容・必須条件・歓迎条件などを貼り付け}

【手順】
1. 求人情報から、応募先が重視していそうな能力を3つ抽出する
2. 棚卸しメモから、それぞれの能力を裏付ける経験・実績を探す
3. 職務要約と自己PRを作る

【ルール】
- メモに書かれていない実績や数字を作らない。数字がない場合は、行動と工夫で具体性を出す
- 「コミュニケーション能力が高い」のような抽象的な表現だけで終わらせない
- 応募先と関係の薄い経験は無理につなげない
- 個人情報（実名・社名）は、必要に応じて伏せ字にできるよう［ ］で示す

【出力】
1. 応募先が重視していそうな能力と、対応する経験の表
2. 職務要約（全角200〜300字）
3. 自己PR（全角400字程度、見出し付き）
4. 面接で深掘りされそうな質問と、答えの準備メモ","経験の棚卸しメモは、うまくまとめなくても箇条書きで大丈夫です。応募先の求人情報を貼ると、その会社に合わせた強みの打ち出し方になります。
書類に書く実績や数字は、必ず事実どおりか確認してください。応募先ごとに求人情報を差し替えて使えます。","【入力】メモ：食品メーカーで法人営業5年、新規開拓で担当エリアの取引先を30社から45社に拡大、後輩2名の育成…／応募先：SaaS企業のカスタマーサクセス職

【出力イメージ】
重視していそうな能力：顧客の課題把握／長期的な関係構築／数字での振り返り
自己PR（見出し）：取引先の「困りごと」から提案をつくる営業スタイル","intermediate","writing","chatgpt, claude","chatgpt, claude"
"writing-comparison-review-article-structure","商品比較レビュー記事の評価軸と構成を作るプロンプト","比較する商品と読者の目的から、公平な評価軸・比較表・結論の出し方まで記事を設計します。","複数の商品やサービスを比較するレビュー記事を設計するプロンプトです。読者が選ぶときに本当に気にする評価軸を決め、比較表の形式、各商品の評価の書き方、「こういう人にはこれ」という結論の出し方まで、公平で信頼される記事の構成を作ります。

アフィリエイトを含む記事では、広告であることの表示など関連ルールに従ってください。","# ROLE
あなたは読者の信頼を重視するレビューメディアの編集者です。

# INPUT
- 比較する商品：{商品名を3〜5個}
- 想定読者と目的：{例：初めてワイヤレスイヤホンを買う学生。通学中に使いたい}
- 実際に試した内容・手元の情報：{使用感、測定結果、公式スペックなど}
- 記事の形式：{例：ブログ記事、YouTube台本}

# PROCESS
1. 読者の目的から、選ぶときに重要な評価軸を5つ決める（理由付き）
2. 各評価軸の評価方法（何を基準に判断するか）を決める
3. 比較表と、各商品の評価の書き方を設計する
4. 「こんな人におすすめ」の結論パターンを作る

# RULES
- 実際に試していない内容は、公式情報であることを明記する
- 欠点も必ず書く。すべての商品を褒める構成にしない
- 価格・仕様は変わるため、記事内に「確認日」を入れる
- 広告・アフィリエイトを含む場合は、その旨を冒頭に明示する構成にする

# OUTPUT
1. 評価軸と評価方法の表
2. 記事の見出し構成
3. 比較表のテンプレート
4. 結論パターン（読者タイプ別のおすすめ）
5. 読者の信頼を損なわないための注意点","比較する商品と、読者がどんな目的で選ぶのかを具体的に入力します。実際に試した内容があれば書いておくと、公式情報との区別がはっきりした構成になります。
価格やスペックは公開直前に公式サイトで再確認し、記事内に確認日を書いてください。","【入力】商品：ワイヤレスイヤホン4機種／読者：通学中に使いたい学生／試した内容：各機種を1週間使用

【出力イメージ】
評価軸：①電車内でのノイズキャンセリング（理由：通学時の主な環境）②連続再生時間③装着感④価格⑤通話マイクの聞こえ方
結論パターン：「予算1万円以内で電車の騒音を減らしたい人」には…","intermediate","writing","chatgpt, claude","chatgpt, claude, perplexity"
"writing-english-article-localization","英語の記事を自然な日本語に翻訳・ローカライズするプロンプト","直訳ではなく、日本の読者に伝わる表現・単位・事例に置き換えながら英語記事を日本語化します。","英語のブログ記事、ホワイトペーパー、製品ページなどを、日本の読者向けに翻訳・ローカライズするプロンプトです。直訳調を避けて自然な日本語にするだけでなく、単位や通貨、日本では通じにくい例え、文化的な前提の違いにも配慮して調整します。

専門用語の訳語を統一するための用語表も作るので、複数の記事を訳すときの品質をそろえられます。","# ROLE
あなたはIT・ビジネス分野の翻訳とローカライズを専門とする翻訳者です。

# INPUT
- 原文（英語）：
{英語の文章を貼り付け}
- 日本語版の読者：{例：日本の中小企業の経営者}
- 文体：{例：です・ます調、専門用語は控えめに}
- 指定の訳語（あれば）：{例：customer success → カスタマーサクセス}

# PROCESS
1. 原文の目的と主張を把握する
2. 意味を正確に保ちながら、自然な日本語に訳す
3. 日本の読者に伝わりにくい部分（単位、通貨、固有の制度、ことわざ・例え）を特定し、調整案を出す
4. 用語の訳を統一する

# RULES
- 原文にない主張を加えない。補足を入れた場合は［訳注］と明記する
- 数値・固有名詞・引用は正確に保つ
- 法律・制度など国によって違う内容は、日本の制度と同じだと誤解されないように注記する
- 直訳調（「〜することができます」の多用など）を避ける

# OUTPUT
1. 日本語訳
2. ローカライズで調整した箇所の一覧（原文／訳文／調整の理由）
3. 用語表（英語／訳語／補足）
4. 日本版として追加を検討したほうがよい情報","英語の原文を貼り付け、日本語版の読者と文体を指定します。社内で決まっている訳語があれば入力すると、表記がそろいます。
固有の制度や法律に関わる部分は、日本の状況と違う可能性があるため、専門家や公式情報で確認してください。","【入力】原文：米国のSaaS企業のブログ記事「How to reduce churn in your first 90 days」／読者：日本の中小企業の経営者

【出力イメージ】
調整箇所：原文「a home run」→ 訳文「大きな成果」（理由：野球の例えは伝わるが、ビジネス文書では大げさに感じられるため）
用語表：churn → 解約（率）／onboarding → 導入支援（オンボーディング）","advanced","writing","claude, chatgpt","claude, chatgpt"
"writing-reader-persona-draft-review","想定読者になりきって原稿の分かりにくい箇所を指摘させるプロンプト","AIが想定読者の立場で原稿を読み、つまずく箇所・疑問・離脱しそうな箇所を具体的に指摘します。","書き手自身では気づきにくい「読者のつまずき」を見つけるためのプロンプトです。AIに想定読者の知識や状況を設定して原稿を読ませ、分からない言葉、疑問が残る箇所、読むのをやめたくなる箇所を、原稿の該当部分を引用しながら指摘してもらいます。

社内の人に読んでもらう前の、セルフレビューとして使えます。","あなたは次の設定の読者です。この立場になりきって、原稿を読んだ感想を正直に伝えてください。

## 読者の設定
- 属性：{例：40代の飲食店オーナー、ITに詳しくない}
- この原稿を読む目的：{例：予約システムを入れるべきか判断したい}
- 知っていること／知らないこと：{例：スマホは使うが、クラウドという言葉はよく分からない}
- 読む状況：{例：営業後の疲れた時間に、スマホで読む}

## 原稿
{レビューしてほしい原稿を貼り付け}

## 指摘の方法
1. 読み進めながら、つまずいた箇所を原稿から引用し、「なぜつまずいたか」を読者の言葉で書く
2. 読み終えて残った疑問を挙げる
3. 読むのをやめたくなった箇所があれば、その理由を書く
4. 最後に、読者として「行動しようと思ったか」を正直に答える

## ルール
- 読者の設定から外れた専門家目線の指摘はしない
- 良かった点も具体的に挙げる
- 指摘のあとに、書き手向けの改善案を「改善案：」として分けて書く","読者の設定をできるだけ具体的に書くのがコツです。同じ原稿でも、読者の設定を変えて何度か試すと、別の角度からの指摘が得られます。
指摘された箇所をすべて直す必要はありません。記事の目的に照らして、優先度の高いものから直してください。","【読者の設定】ITに詳しくない40代の飲食店オーナー／予約システムを入れるか判断したい

【出力イメージ】
つまずいた箇所：「API連携で既存のPOSと同期できます」→ APIもPOSも何のことか分からず、ここで読むのをやめそうになりました
残った疑問：結局、月にいくらかかるのか最後まで分からなかった
改善案：「お店のレジと自動でつながるので、二重入力が不要です」のように、できることで説明する","advanced","writing","claude, chatgpt","claude, chatgpt"
"productivity-daily-priority-time-blocking","ToDoリストから今日の優先順位と時間割を作るプロンプト","やることの一覧と予定を渡すと、締切と重要度から優先順位を付け、今日の時間割に落とし込みます。","頭の中にあるやることを全部書き出し、今日どれから手を付けるべきかを決めるためのプロンプトです。締切・重要度・かかる時間をもとに優先順位を付け、会議などの予定の空き時間に作業を割り当てた時間割（タイムブロック）を作ります。

今日やらないことも明確にするので、「全部気になって手が止まる」状態を抜け出す助けになります。","# GOAL
今日1日の優先順位と時間割を作ってください。

# INPUT
- やること（思いつくまま）：
{タスクを箇条書き。締切や所要時間が分かれば添える}
- 今日の予定：{例：10:00-11:00 定例会議、15:00 来客}
- 作業できる時間：{例：9:00〜18:00、昼休み12:00〜13:00}
- 自分の傾向：{例：午前中は集中しやすい、夕方は疲れて判断が鈍る}

# PROCESS
1. 各タスクの締切・重要度・所要時間を整理する（不明なものは推定し、推定と明記）
2. 「今日必ずやる」「今日できればやる」「今日はやらない」に分ける
3. 集中が必要なタスクを集中しやすい時間帯に置き、予定の空き時間に割り当てる
4. 予定外の依頼に備えて、30分以上の余白を確保する

# RULES
- 1日の作業時間を詰め込みすぎない（所要時間の合計は作業可能時間の8割まで）
- 大きいタスクは、今日進める最初の一歩（30〜60分）に切り出す

# OUTPUT
1. 今日必ずやる3つ
2. 時間割（表：時間／作業／ポイント）
3. 今日はやらないことと、いつやるかの目安
4. 夕方に振り返るときの質問（2つ）","頭に浮かんだタスクを整理せずにそのまま書き出して大丈夫です。今日の予定と、自分が集中しやすい時間帯を書くと、現実的な時間割になります。
朝の始業時に使い、夕方に「振り返りの質問」に答えて翌日の入力に活かすと、計画の精度が上がっていきます。","【入力】タスク：企画書の作成（金曜締切）、経費精算、Aさんへの返信、来週の研修資料の確認、メール整理／予定：10-11時 定例

【出力イメージ】
今日必ずやる3つ：Aさんへの返信／企画書の構成づくり（最初の一歩）／経費精算
時間割：9:00-9:30 Aさんへの返信とメール整理 → 9:30-10:00 定例の準備 → 11:00-12:00 企画書の構成づくり（集中タイム）…","beginner","productivity","chatgpt, claude","chatgpt, claude, notion-ai"
"productivity-meeting-agenda-with-goals","会議のゴールと時間配分を決めるアジェンダ作成プロンプト","会議の目的から、決めること・議題ごとの時間配分・事前に準備してもらうことを整理します。","会議の前に、ゴールがはっきりしたアジェンダ（議題表）を作るプロンプトです。「何を決める会議なのか」から逆算し、議題ごとの時間配分と進め方、参加者に事前に準備してもらうことを整理します。

結論が出ないまま時間切れになる会議や、誰のための会議か分からない会議を減らすことが目的です。","次の会議のアジェンダを作成してください。

■ 会議名：{例：新サービスのリリース日決定会議}
■ 会議の目的（この会議で決めること）：{例：リリース日と、それまでの担当を決める}
■ 参加者と立場：{例：PM、開発リーダー、営業責任者、CS担当}
■ 時間：{例：45分}
■ 話し合いたいこと：{思いつく議題を箇条書き}
■ 前回からの持ち越し事項：{あれば}

ルール：
- 会議のゴールを「〜が決まっている状態」の形で1文にする
- 議題ごとに「報告／議論／決定」の種類と時間を付ける
- 報告だけの議題は、事前共有の資料で済ませられないか提案する
- 最後の5分は、決まったことと宿題の確認に使う
- 合計時間が会議時間を超えないようにする

出力：
1. 会議のゴール
2. アジェンダ（表：時間／議題／種類／担当／進め方）
3. 参加者に事前に準備してもらうこと
4. 会議招待の本文に貼れる短い案内文","会議で「何を決めたいか」をできるだけ具体的に書くのがポイントです。話し合いたいことは思いつくまま書けば、報告と議論に振り分けてくれます。
出力された案内文をカレンダーの招待に貼り、事前準備も一緒に依頼すると会議が短くなります。","【入力】会議：新サービスのリリース日決定／参加者：PM、開発、営業、CS／45分

【出力イメージ】
ゴール：リリース日と、リリースまでの各部署の担当が決まっている状態
| 時間 | 議題 | 種類 | 担当 |
| 0-5分 | 開発の進捗（資料は事前共有） | 報告 | 開発リーダー |
| 5-25分 | リリース日の候補と懸念点 | 議論 | PM |
| 25-35分 | リリース日の決定 | 決定 | PM |","beginner","productivity","chatgpt, claude","chatgpt, claude, microsoft-copilot"
